"Lithium, Cobalt, Sliver"
"Current date: 04/02/2026 11:41 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2017","103,585,055"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2018","153,030,143"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2019","134,665,304"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2020","93,565,194"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2021","8,039,317"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2022","12,964,245"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2023","26,208,646"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2024","28,243,886"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2025","40,330,466"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2015","85,857,936"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2016","92,661,982"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2017","72,507,189"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2018","78,029,704"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2019","89,881,497"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2020","37,681,487"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2021","12,764,287"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2022","4,948,964"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2023","14,398,363"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2024","1,312,962"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Bolivia","2025","220,414"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2015","1,376,018"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2016","1,331,944"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2017","1,389,064"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2018","755,231"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2019","1,366,062"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2020","1,184,373"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2021","1,937,679"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2022","979,061"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2023","1,499,556"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2024","1,293,840"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Brazil","2025","2,891,765"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2016","54,513,090"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2017","174,339,085"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2018","173,726,179"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2019","136,032,842"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2020","158,051,532"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2021","224,685,115"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2022","204,986,482"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2023","185,197,486"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2024","249,501,234"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Chile","2025","213,030,176"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2015","1,668,908"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2016","3,131,741"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2017","1,097,501"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2018","1,348,055"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2019","82,369"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2020","1,186,275"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2021","8,554,451"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2022","9,452,022"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2023","6,179,377"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2024","16,537,831"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Colombia","2025","15,169,759"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2015","9,338"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2016","71,858"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2017","357,923"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2019","15,134"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2020","897,881"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2021","487,118"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2022","1,462,861"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2023","2,957"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2024","398,055"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Ecuador","2025","415,500"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2015","185,125,954"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2016","332,948,170"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2017","243,200,923"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2018","190,107,960"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2019","42,339,339"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2020","63,550,814"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2021","39,092,793"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2022","35,977,892"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2023","45,112,894"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2024","64,468,515"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Peru","2025","66,459,972"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Uruguay","2024","232,741"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Venezuela","2016","43,301"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2015","5,782,350"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2016","423,746"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2017","1,844,585"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2018","251,798"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2019","1,041,235"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2020","145,201"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2021","25,832"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2022","34,253"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2023","336,664"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2024","657,706"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South/Central America","2025","433,829"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2015","5,782,350"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2016","423,746"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2017","1,844,585"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2018","251,798"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2019","735,644"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2020","11,275"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2021","20,052"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2023","15,127"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","South America","2024","71,279"
