HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7404,Copper Waste And Scrap,2013,Dec,Suriname,258636,1.46,106.8327,242094.41491228808,Refined / Articles
7404,Copper Waste And Scrap,2014,Jan,Suriname,40000,1.62,108.5634,36844.82984136458,Refined / Articles
7404,Copper Waste And Scrap,2014,Feb,Suriname,437813,1.62,108.5634,403278.6371834338,Refined / Articles
7404,Copper Waste And Scrap,2014,Mar,Suriname,462963,1.62,108.5634,426444.8239461918,Refined / Articles
7404,Copper Waste And Scrap,2014,Apr,Suriname,272432,1.62,108.5634,250942.76708356594,Refined / Articles
7404,Copper Waste And Scrap,2014,May,Suriname,278676,1.62,108.5634,256694.2450218029,Refined / Articles
7404,Copper Waste And Scrap,2014,Jun,Suriname,284844,1.62,108.5634,262375.71778334136,Refined / Articles
7404,Copper Waste And Scrap,2014,Jul,Suriname,642667,1.62,108.5634,591973.9064915063,Refined / Articles
7404,Copper Waste And Scrap,2014,Aug,Suriname,156132,1.62,108.5634,143816.4243197984,Refined / Articles
7404,Copper Waste And Scrap,2014,Sep,Suriname,272317,1.62,108.5634,250836.83819777198,Refined / Articles
7404,Copper Waste And Scrap,2014,Oct,Suriname,307225,1.62,108.5634,282991.32120033086,Refined / Articles
7404,Copper Waste And Scrap,2014,Nov,Suriname,153651,1.62,108.5634,141531.12374888774,Refined / Articles
7404,Copper Waste And Scrap,2014,Dec,Suriname,333055,1.62,108.5634,306783.87007039203,Refined / Articles
7404,Copper Waste And Scrap,2015,Jan,Suriname,116779,0.12,108.6937,107438.60959742835,Refined / Articles
7404,Copper Waste And Scrap,2015,Feb,Suriname,260225,0.12,108.6937,239411.2998269449,Refined / Articles
7404,Copper Waste And Scrap,2015,Apr,Suriname,140309,0.12,108.6937,129086.59839530717,Refined / Articles
7404,Copper Waste And Scrap,2015,May,Suriname,144456,0.12,108.6937,132901.90691824822,Refined / Articles
7404,Copper Waste And Scrap,2015,Jul,Suriname,116493,0.12,108.6937,107175.4848717083,Refined / Articles
7404,Copper Waste And Scrap,2015,Sep,Suriname,85156,0.12,108.6937,78344.92707489026,Refined / Articles
