Commodities,Countries,Nominal_Value,HS_Code,Month,Year,Inflation_Rate,CPI,Real_Value,CategoryType,YearMonth
"7508 Articles Of Nickel, Nesoi",Indonesia,692879,7508,12,2013,1.5,106.32226499999997,651678.179,Refined/Articles,2013-12-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,25229,7607,2,2022,6.5,135.51484256620265,18617.149,Refined/Articles,2022-02-01
"7407 Copper Bars, Rods And Profiles",Vietnam,1495949,7407,2,2025,2.7,148.07891445527505,1010237.687,Refined/Articles,2025-02-01
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,32204,7505,2,2018,1.9,114.6409802061275,28091.176,Refined/Articles,2018-02-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,85861,7610,3,2017,2.1,112.50341531513985,76318.572,Refined/Articles,2017-03-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,510518,7615,9,2014,0.8,107.17284311999997,476350.151,Other,2014-09-01
7412 Copper Tube Or Pipe Fittings,Indonesia,549719,7412,12,2012,1.7,104.75099999999999,524786.398,Other,2012-12-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,2045,8108,2,2021,7.0,127.24398363023722,1607.149,Ore/Raw,2021-02-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,96344,7415,12,2011,3.0,103.0,93537.864,Other,2011-12-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,603513,7418,8,2010,1.5,100.0,603513.0,Other,2010-08-01
"7505 Nickel Bars, Rods, Profiles And Wire",Malaysia,66255,7505,11,2024,2.9,144.18589528264368,45951.097,Refined/Articles,2024-11-01
7504 Nickel Powders And Flakes,Vietnam,3828,7504,7,2021,7.0,127.24398363023722,3008.394,Other,2021-07-01
7411 Copper Tubes And Pipes,Thailand,320696,7411,1,2016,2.1,110.18943713529859,291040.601,Refined/Articles,2016-01-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,2811934,7604,10,2015,0.7,107.92305302183996,2605498.938,Refined/Articles,2015-10-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,15595998,7615,6,2015,0.7,107.92305302183996,14451034.847,Other,2015-06-01
7609 Aluminum Tube Or Pipe Fittings,Singapore,12024,7609,4,2015,0.7,107.92305302183996,11141.271,Other,2015-04-01
"7601 Aluminum, Unwrought",Vietnam,51673,7601,8,2017,2.1,112.50341531513985,45930.161,Refined/Articles,2017-08-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,467197,7610,10,2013,1.5,106.32226499999997,439415.959,Refined/Articles,2013-10-01
7404 Copper Waste And Scrap,Vietnam,5880,7404,5,2025,2.7,148.07891445527505,3970.856,Ore/Raw,2025-05-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,25539,7607,2,2016,2.1,110.18943713529859,23177.358,Refined/Articles,2016-02-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,162350,7607,3,2014,0.8,107.17284311999997,151484.271,Refined/Articles,2014-03-01
7609 Aluminum Tube Or Pipe Fittings,Malaysia,8452,7609,1,2015,0.7,107.92305302183996,7831.506,Other,2015-01-01
7609 Aluminum Tube Or Pipe Fittings,Philippines,22860,7609,11,2010,1.5,100.0,22860.0,Other,2010-11-01
7412 Copper Tube Or Pipe Fittings,Vietnam,3523603,7412,12,2022,6.5,135.51484256620265,2600160.199,Other,2022-12-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,7276617,7606,9,2016,2.1,110.18943713529859,6603733.705,Refined/Articles,2016-09-01
7907 Articles Of Zinc Nesoi,Thailand,422959,7907,6,2023,3.4,140.12234721345354,301849.782,Refined/Articles,2023-06-01
"7601 Aluminum, Unwrought",Singapore,47860,7601,7,2013,1.5,106.32226499999997,45014.09,Refined/Articles,2013-07-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,55771,7609,1,2022,6.5,135.51484256620265,41154.902,Other,2022-01-01
7616 Articles Of Aluminum Nesoi,Philippines,49944,7616,9,2014,0.8,107.17284311999997,46601.358,Refined/Articles,2014-09-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,643384,7604,9,2017,2.1,112.50341531513985,571879.528,Refined/Articles,2017-09-01
7608 Aluminum Tubes And Pipes,Thailand,12895,7608,5,2013,1.5,106.32226499999997,12128.222,Refined/Articles,2013-05-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,406376,7615,5,2019,2.3,117.27772275086842,346507.41,Other,2019-05-01
7907 Articles Of Zinc Nesoi,Vietnam,248050,7907,11,2015,0.7,107.92305302183996,229839.68,Refined/Articles,2015-11-01
7408 Copper Wire,Vietnam,2319273,7408,7,2024,2.9,144.18589528264368,1608529.735,Refined/Articles,2024-07-01
"7508 Articles Of Nickel, Nesoi",Indonesia,1636076,7508,7,2019,2.3,117.27772275086842,1395044.141,Refined/Articles,2019-07-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,32080,7415,3,2016,2.1,110.18943713529859,29113.498,Other,2016-03-01
7907 Articles Of Zinc Nesoi,Thailand,621310,7907,1,2023,3.4,140.12234721345354,443405.361,Refined/Articles,2023-01-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,25784,7413,4,2018,1.9,114.6409802061275,22491.085,Refined/Articles,2018-04-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,3746251,7606,11,2023,3.4,140.12234721345354,2673557.127,Refined/Articles,2023-11-01
7419 Articles Of Copper Nesoi,Vietnam,119855,7419,9,2012,1.7,104.75099999999999,114418.955,Refined/Articles,2012-09-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,420956,7418,10,2011,3.0,103.0,408695.146,Other,2011-10-01
7616 Articles Of Aluminum Nesoi,Singapore,161594,7616,4,2022,6.5,135.51484256620265,119244.503,Refined/Articles,2022-04-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,6295438,7610,4,2022,6.5,135.51484256620265,4645570.833,Refined/Articles,2022-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,276943,7615,2,2024,2.9,144.18589528264368,192073.572,Other,2024-02-01
"7508 Articles Of Nickel, Nesoi",Malaysia,38186,7508,2,2021,7.0,127.24398363023722,30010.063,Refined/Articles,2021-02-01
7404 Copper Waste And Scrap,Singapore,4650,7404,4,2012,1.7,104.75099999999999,4439.098,Ore/Raw,2012-04-01
7411 Copper Tubes And Pipes,Malaysia,1998439,7411,11,2018,1.9,114.6409802061275,1743215.207,Refined/Articles,2018-11-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,13117,7418,12,2010,1.5,100.0,13117.0,Other,2010-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,824718,7610,9,2025,2.7,148.07891445527505,556944.926,Refined/Articles,2025-09-01
7412 Copper Tube Or Pipe Fittings,Vietnam,6353960,7412,10,2024,2.9,144.18589528264368,4406783.332,Other,2024-10-01
7907 Articles Of Zinc Nesoi,Singapore,30117,7907,6,2020,1.4,118.91961086938058,25325.512,Refined/Articles,2020-06-01
7907 Articles Of Zinc Nesoi,Burma,0,7907,11,2020,1.4,118.91961086938058,0.0,Refined/Articles,2020-11-01
7609 Aluminum Tube Or Pipe Fittings,Vietnam,102844,7609,12,2018,1.9,114.6409802061275,89709.631,Other,2018-12-01
7907 Articles Of Zinc Nesoi,Burma,13740,7907,2,2022,6.5,135.51484256620265,10139.111,Refined/Articles,2022-02-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,134781,7413,7,2024,2.9,144.18589528264368,93477.243,Refined/Articles,2024-07-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,2018655,7604,8,2020,1.4,118.91961086938058,1697495.464,Refined/Articles,2020-08-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,4001538,7606,5,2020,1.4,118.91961086938058,3364910.103,Refined/Articles,2020-05-01
7411 Copper Tubes And Pipes,Indonesia,96031,7411,8,2024,2.9,144.18589528264368,66602.215,Refined/Articles,2024-08-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,16066,7409,2,2023,3.4,140.12234721345354,11465.694,Refined/Articles,2023-02-01
7616 Articles Of Aluminum Nesoi,Singapore,285565,7616,9,2020,1.4,118.91961086938058,240132.807,Refined/Articles,2020-09-01
"7903 Zinc Dust, Powders And Flakes",Malaysia,53248,7903,5,2011,3.0,103.0,51697.087,Other,2011-05-01
"7505 Nickel Bars, Rods, Profiles And Wire",Malaysia,77531,7505,11,2023,3.4,140.12234721345354,55330.932,Refined/Articles,2023-11-01
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,249778,3606,6,2022,6.5,135.51484256620265,184317.817,Refined/Articles,2022-06-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,23909659,7615,11,2013,1.5,106.32226499999997,22487913.515,Other,2013-11-01
7419 Articles Of Copper Nesoi,Malaysia,68792,7419,2,2018,1.9,114.6409802061275,60006.465,Refined/Articles,2018-02-01
7616 Articles Of Aluminum Nesoi,Vietnam,393588,7616,9,2016,2.1,110.18943713529859,357192.132,Refined/Articles,2016-09-01
7408 Copper Wire,Thailand,591194,7408,11,2012,1.7,104.75099999999999,564380.292,Refined/Articles,2012-11-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,42280,7415,8,2017,2.1,112.50341531513985,37581.081,Other,2017-08-01
7907 Articles Of Zinc Nesoi,Vietnam,10327,7907,10,2011,3.0,103.0,10026.214,Refined/Articles,2011-10-01
7503 Nickel Waste And Scrap,Thailand,168575,7503,5,2011,3.0,103.0,163665.049,Ore/Raw,2011-05-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,4289355,7615,12,2019,2.3,117.27772275086842,3657433.739,Other,2019-12-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Thailand,10839,7614,5,2024,2.9,144.18589528264368,7517.379,Refined/Articles,2024-05-01
7412 Copper Tube Or Pipe Fittings,Indonesia,518789,7412,12,2011,3.0,103.0,503678.641,Other,2011-12-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,7119,7418,5,2023,3.4,140.12234721345354,5080.56,Other,2023-05-01
7608 Aluminum Tubes And Pipes,Thailand,4651,7608,8,2018,1.9,114.6409802061275,4057.013,Refined/Articles,2018-08-01
7503 Nickel Waste And Scrap,Vietnam,226173,7503,4,2025,2.7,148.07891445527505,152738.154,Ore/Raw,2025-04-01
7609 Aluminum Tube Or Pipe Fittings,Philippines,2499,7609,4,2024,2.9,144.18589528264368,1733.179,Other,2024-04-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,3364,7418,12,2021,7.0,127.24398363023722,2643.74,Other,2021-12-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,108995,7415,8,2025,2.7,148.07891445527505,73606.023,Other,2025-08-01
7609 Aluminum Tube Or Pipe Fittings,Malaysia,24223,7609,1,2014,0.8,107.17284311999997,22601.808,Other,2014-01-01
7412 Copper Tube Or Pipe Fittings,Indonesia,653913,7412,9,2023,3.4,140.12234721345354,466672.885,Other,2023-09-01
7609 Aluminum Tube Or Pipe Fittings,Vietnam,859245,7609,7,2023,3.4,140.12234721345354,613210.539,Other,2023-07-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,66376,7410,2,2014,0.8,107.17284311999997,61933.6,Refined/Articles,2014-02-01
7408 Copper Wire,Thailand,455677,7408,9,2023,3.4,140.12234721345354,325199.377,Refined/Articles,2023-09-01
7412 Copper Tube Or Pipe Fittings,Singapore,787916,7412,10,2014,0.8,107.17284311999997,735182.512,Other,2014-10-01
7602 Aluminum Waste And Scrap,Malaysia,72330,7602,6,2025,2.7,148.07891445527505,48845.577,Ore/Raw,2025-06-01
7609 Aluminum Tube Or Pipe Fittings,Philippines,78720,7609,3,2011,3.0,103.0,76427.184,Other,2011-03-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,4596,7415,9,2019,2.3,117.27772275086842,3918.903,Other,2019-09-01
"7508 Articles Of Nickel, Nesoi",Philippines,4285,7508,6,2022,6.5,135.51484256620265,3162.015,Refined/Articles,2022-06-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,1583379,7607,7,2019,2.3,117.27772275086842,1350110.629,Refined/Articles,2019-07-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,515464,7612,4,2020,1.4,118.91961086938058,433455.841,Other,2020-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,17572413,7615,9,2018,1.9,114.6409802061275,15328212.449,Other,2018-09-01
7608 Aluminum Tubes And Pipes,Malaysia,2061,7608,7,2010,1.5,100.0,2061.0,Refined/Articles,2010-07-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,7877,7606,2,2010,1.5,100.0,7877.0,Refined/Articles,2010-02-01
7616 Articles Of Aluminum Nesoi,Thailand,386161,7616,9,2010,1.5,100.0,386161.0,Refined/Articles,2010-09-01
7609 Aluminum Tube Or Pipe Fittings,Vietnam,48042,7609,9,2016,2.1,110.18943713529859,43599.46,Other,2016-09-01
7408 Copper Wire,Indonesia,3000,7408,9,2016,2.1,110.18943713529859,2722.584,Refined/Articles,2016-09-01
7419 Articles Of Copper Nesoi,Philippines,9556,7419,9,2022,6.5,135.51484256620265,7051.626,Refined/Articles,2022-09-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,80473,7604,11,2022,6.5,135.51484256620265,59383.163,Refined/Articles,2022-11-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,473365,7604,9,2016,2.1,110.18943713529859,429591.994,Refined/Articles,2016-09-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,2808754,7606,8,2024,2.9,144.18589528264368,1948008.85,Refined/Articles,2024-08-01
7504 Nickel Powders And Flakes,Vietnam,2425,7504,2,2020,1.4,118.91961086938058,2039.193,Other,2020-02-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,146235,2846,2,2019,2.3,117.27772275086842,124691.2,Compound,2019-02-01
7616 Articles Of Aluminum Nesoi,Cambodia,1016232,7616,2,2019,2.3,117.27772275086842,866517.507,Refined/Articles,2019-02-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,2582,7415,9,2011,3.0,103.0,2506.796,Other,2011-09-01
7907 Articles Of Zinc Nesoi,Indonesia,12627,7907,8,2016,2.1,110.18943713529859,11459.356,Refined/Articles,2016-08-01
7408 Copper Wire,Thailand,1301322,7408,8,2012,1.7,104.75099999999999,1242300.312,Refined/Articles,2012-08-01
7411 Copper Tubes And Pipes,Malaysia,3104836,7411,2,2013,1.5,106.32226499999997,2920212.432,Refined/Articles,2013-02-01
7616 Articles Of Aluminum Nesoi,Thailand,2055339,7616,5,2024,2.9,144.18589528264368,1425478.543,Refined/Articles,2024-05-01
7608 Aluminum Tubes And Pipes,Malaysia,159773,7608,11,2017,2.1,112.50341531513985,142016.133,Refined/Articles,2017-11-01
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Singapore,5695,7611,12,2019,2.3,117.27772275086842,4855.995,Other,2019-12-01
"7508 Articles Of Nickel, Nesoi",Indonesia,828397,7508,8,2022,6.5,135.51484256620265,611296.139,Refined/Articles,2022-08-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,6886,7606,9,2012,1.7,104.75099999999999,6573.684,Refined/Articles,2012-09-01
7419 Articles Of Copper Nesoi,Singapore,27106,7419,11,2016,2.1,110.18943713529859,24599.454,Refined/Articles,2016-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,159896,7607,7,2013,1.5,106.32226499999997,150388.068,Refined/Articles,2013-07-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,3508735,7615,2,2023,3.4,140.12234721345354,2504050.974,Other,2023-02-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,1205557,7610,2,2020,1.4,118.91961086938058,1013757.942,Refined/Articles,2020-02-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,35564,8108,2,2019,2.3,117.27772275086842,30324.6,Ore/Raw,2019-02-01
7419 Articles Of Copper Nesoi,Vietnam,49994,7419,3,2017,2.1,112.50341531513985,44437.762,Refined/Articles,2017-03-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,18782,7610,6,2014,0.8,107.17284311999997,17524.962,Refined/Articles,2014-06-01
7907 Articles Of Zinc Nesoi,Malaysia,550930,7907,10,2024,2.9,144.18589528264368,382097.014,Refined/Articles,2024-10-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,19325714,7410,4,2025,2.7,148.07891445527505,13050956.02,Refined/Articles,2025-04-01
7404 Copper Waste And Scrap,Singapore,38168,7404,9,2019,2.3,117.27772275086842,32544.97,Ore/Raw,2019-09-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,463296,7607,9,2017,2.1,112.50341531513985,411806.165,Refined/Articles,2017-09-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,1256019,7606,5,2017,2.1,112.50341531513985,1116427.44,Refined/Articles,2017-05-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,521769,7606,6,2013,1.5,106.32226499999997,490742.931,Refined/Articles,2013-06-01
7602 Aluminum Waste And Scrap,Malaysia,21961,7602,12,2024,2.9,144.18589528264368,15231.032,Ore/Raw,2024-12-01
7907 Articles Of Zinc Nesoi,Malaysia,92897,7907,9,2016,2.1,110.18943713529859,84306.629,Refined/Articles,2016-09-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,119327,7607,5,2014,0.8,107.17284311999997,111340.706,Refined/Articles,2014-05-01
7907 Articles Of Zinc Nesoi,Malaysia,129429,7907,7,2010,1.5,100.0,129429.0,Refined/Articles,2010-07-01
7616 Articles Of Aluminum Nesoi,Indonesia,92219,7616,12,2017,2.1,112.50341531513985,81969.956,Refined/Articles,2017-12-01
7609 Aluminum Tube Or Pipe Fittings,Philippines,9960,7609,9,2014,0.8,107.17284311999997,9293.399,Other,2014-09-01
7419 Articles Of Copper Nesoi,Indonesia,68281,7419,7,2024,2.9,144.18589528264368,47356.227,Refined/Articles,2024-07-01
7503 Nickel Waste And Scrap,Singapore,7175859,7503,7,2023,3.4,140.12234721345354,5121138.164,Ore/Raw,2023-07-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,24318,7609,9,2024,2.9,144.18589528264368,16865.727,Other,2024-09-01
7411 Copper Tubes And Pipes,Malaysia,6816857,7411,4,2010,1.5,100.0,6816857.0,Refined/Articles,2010-04-01
7616 Articles Of Aluminum Nesoi,Thailand,352809,7616,2,2021,7.0,127.24398363023722,277269.691,Refined/Articles,2021-02-01
7411 Copper Tubes And Pipes,Malaysia,2892606,7411,11,2024,2.9,144.18589528264368,2006164.33,Refined/Articles,2024-11-01
"7508 Articles Of Nickel, Nesoi",Indonesia,854996,7508,1,2016,2.1,110.18943713529859,775932.814,Refined/Articles,2016-01-01
"7508 Articles Of Nickel, Nesoi",Malaysia,21487,7508,8,2018,1.9,114.6409802061275,18742.861,Refined/Articles,2018-08-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,509527,7418,7,2010,1.5,100.0,509527.0,Other,2010-07-01
7412 Copper Tube Or Pipe Fittings,Vietnam,3764660,7412,11,2022,6.5,135.51484256620265,2778042.559,Other,2022-11-01
7609 Aluminum Tube Or Pipe Fittings,Malaysia,41716,7609,9,2025,2.7,148.07891445527505,28171.465,Other,2025-09-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,11010,7606,2,2011,3.0,103.0,10689.32,Refined/Articles,2011-02-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,56824,7418,2,2018,1.9,114.6409802061275,49566.917,Other,2018-02-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,609071,7604,9,2019,2.3,117.27772275086842,519340.746,Refined/Articles,2019-09-01
"7508 Articles Of Nickel, Nesoi",Cambodia,5869,7508,8,2022,6.5,135.51484256620265,4330.891,Refined/Articles,2022-08-01
"7508 Articles Of Nickel, Nesoi",Indonesia,1183912,7508,4,2019,2.3,117.27772275086842,1009494.363,Refined/Articles,2019-04-01
7404 Copper Waste And Scrap,Philippines,27960,7404,8,2012,1.7,104.75099999999999,26691.869,Ore/Raw,2012-08-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,234876,7413,7,2022,6.5,135.51484256620265,173321.236,Refined/Articles,2022-07-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,654911,7610,4,2019,2.3,117.27772275086842,558427.453,Refined/Articles,2019-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,12961,7615,8,2014,0.8,107.17284311999997,12093.549,Other,2014-08-01
7616 Articles Of Aluminum Nesoi,Indonesia,22489,7616,8,2015,0.7,107.92305302183996,20837.995,Refined/Articles,2015-08-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,43974,7609,6,2022,6.5,135.51484256620265,32449.582,Other,2022-06-01
7609 Aluminum Tube Or Pipe Fittings,Philippines,67760,7609,5,2012,1.7,104.75099999999999,64686.733,Other,2012-05-01
7609 Aluminum Tube Or Pipe Fittings,Vietnam,118423,7609,7,2024,2.9,144.18589528264368,82132.167,Other,2024-07-01
7408 Copper Wire,Vietnam,705958,7408,10,2018,1.9,114.6409802061275,615798.992,Refined/Articles,2018-10-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,12853,7413,1,2022,6.5,135.51484256620265,9484.57,Refined/Articles,2022-01-01
7419 Articles Of Copper Nesoi,Thailand,677209,7419,10,2022,6.5,135.51484256620265,499730.5,Refined/Articles,2022-10-01
2817 Zinc Oxide And Zinc Peroxide,Malaysia,132389,2817,5,2024,2.9,144.18589528264368,91818.274,Compound,2024-05-01
7907 Articles Of Zinc Nesoi,Philippines,13454,7907,9,2012,1.7,104.75099999999999,12843.791,Refined/Articles,2012-09-01
7616 Articles Of Aluminum Nesoi,Malaysia,745994,7616,12,2014,0.8,107.17284311999997,696066.259,Refined/Articles,2014-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,4402081,7610,7,2019,2.3,117.27772275086842,3753552.59,Refined/Articles,2019-07-01
7411 Copper Tubes And Pipes,Indonesia,257754,7411,10,2021,7.0,127.24398363023722,202566.748,Refined/Articles,2021-10-01
7616 Articles Of Aluminum Nesoi,Malaysia,521521,7616,1,2018,1.9,114.6409802061275,454916.731,Refined/Articles,2018-01-01
"7508 Articles Of Nickel, Nesoi",Philippines,2949,7508,3,2019,2.3,117.27772275086842,2514.544,Refined/Articles,2019-03-01
7412 Copper Tube Or Pipe Fittings,Indonesia,1152837,7412,3,2025,2.7,148.07891445527505,778528.803,Other,2025-03-01
7613 Aluminum Containers For Compressed Or Liquefid Gas,Malaysia,10343,7613,10,2023,3.4,140.12234721345354,7381.406,Refined/Articles,2023-10-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,87980,7410,10,2023,3.4,140.12234721345354,62787.986,Refined/Articles,2023-10-01
7412 Copper Tube Or Pipe Fittings,Thailand,5022814,7412,5,2022,6.5,135.51484256620265,3706467.797,Other,2022-05-01
7608 Aluminum Tubes And Pipes,Thailand,57991,7608,7,2024,2.9,144.18589528264368,40219.607,Refined/Articles,2024-07-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,94502,7610,4,2013,1.5,106.32226499999997,88882.606,Refined/Articles,2013-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,3103,7615,12,2013,1.5,106.32226499999997,2918.486,Other,2013-12-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,13329,7418,3,2017,2.1,112.50341531513985,11847.64,Other,2017-03-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,25591,8108,7,2024,2.9,144.18589528264368,17748.615,Ore/Raw,2024-07-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Malaysia,5400,7413,6,2020,1.4,118.91961086938058,4540.883,Refined/Articles,2020-06-01
"7508 Articles Of Nickel, Nesoi",Singapore,37072,7508,6,2011,3.0,103.0,35992.233,Refined/Articles,2011-06-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,51046,7610,4,2016,2.1,110.18943713529859,46325.675,Refined/Articles,2016-04-01
7907 Articles Of Zinc Nesoi,Singapore,20944,7907,5,2025,2.7,148.07891445527505,14143.81,Refined/Articles,2025-05-01
7412 Copper Tube Or Pipe Fittings,Singapore,753980,7412,1,2022,6.5,135.51484256620265,556381.859,Other,2022-01-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,4975,7606,5,2012,1.7,104.75099999999999,4749.358,Refined/Articles,2012-05-01
"7508 Articles Of Nickel, Nesoi",Singapore,95763,7508,7,2014,0.8,107.17284311999997,89353.793,Refined/Articles,2014-07-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,3099805,7607,7,2021,7.0,127.24398363023722,2436111.25,Refined/Articles,2021-07-01
7608 Aluminum Tubes And Pipes,Indonesia,105897,7608,2,2021,7.0,127.24398363023722,83223.581,Refined/Articles,2021-02-01
7616 Articles Of Aluminum Nesoi,Indonesia,44373,7616,10,2017,2.1,112.50341531513985,39441.469,Refined/Articles,2017-10-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,38058,7415,10,2019,2.3,117.27772275086842,32451.176,Other,2019-10-01
2603 Copper Ores And Concentrates,Singapore,2556,2603,2,2019,2.3,117.27772275086842,2179.442,Ore/Raw,2019-02-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,15562,7413,10,2019,2.3,117.27772275086842,13269.357,Refined/Articles,2019-10-01
7608 Aluminum Tubes And Pipes,Thailand,23003,7608,4,2012,1.7,104.75099999999999,21959.695,Refined/Articles,2012-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,1076973,7615,10,2018,1.9,114.6409802061275,939431.081,Other,2018-10-01
"7508 Articles Of Nickel, Nesoi",Singapore,133887,7508,10,2020,1.4,118.91961086938058,112586.14,Refined/Articles,2020-10-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,582104,7610,4,2011,3.0,103.0,565149.515,Refined/Articles,2011-04-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,5501,7610,7,2015,0.7,107.92305302183996,5097.15,Refined/Articles,2015-07-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,196624,7607,12,2015,0.7,107.92305302183996,182189.064,Refined/Articles,2015-12-01
7907 Articles Of Zinc Nesoi,Philippines,62949,7907,3,2019,2.3,117.27772275086842,53675.155,Refined/Articles,2019-03-01
7608 Aluminum Tubes And Pipes,Malaysia,22984,7608,3,2012,1.7,104.75099999999999,21941.557,Refined/Articles,2012-03-01
