Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2010,32067
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2023,4763868
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,6987371
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,30919862
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2024,10616
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2013,150701
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2011,6342
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2020,54219
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2023,4609518
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2017,4173065
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2017,8570447
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,5459
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2011,87031
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2023,554382
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2022,20179470
"7508 Articles Of Nickel, Nesoi",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2025,6191
7613 Aluminum Containers For Compressed Or Liquefid Gas,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2023,13900
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,99072
7404 Copper Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2014,203437
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2019,139729227
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2023,143221
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2014,140803
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2016,26286958
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2017,1750544
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2015,80674
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,2216269
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2012,383703
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2025,28711165
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2022,119567
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2025,479246
7408 Copper Wire,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2025,302316
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2013,1451390
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2021,150596
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2018,98613
7503 Nickel Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2017,5190
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2011,104790
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2018,2186
2817 Zinc Oxide And Zinc Peroxide,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2024,3850
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2018,6656779
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2023,151104
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2015,10655472
"7601 Aluminum, Unwrought",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2010,43164
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,120227
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2011,158732
"7505 Nickel Bars, Rods, Profiles And Wire",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,1270220
7411 Copper Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,23620
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2024,12247528
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2020,13947041
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2018,6276590
"7508 Articles Of Nickel, Nesoi",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2013,30512
7412 Copper Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2019,4065
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2022,305537
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2016,8656
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,12650268
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2019,103286
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2012,13394931
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,1223551
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2013,16310
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2025,14861340
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,2010,197078
"7508 Articles Of Nickel, Nesoi",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2022,5869
"7905 Zinc Plates, Sheet, Strip And Foil",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2014,35456
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2023,535955
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2012,995458
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,6380563
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2020,78875111
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,720978
7419 Articles Of Copper Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2015,4985
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2017,907515
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2011,9617
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2019,2154958
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,88219
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2023,703171
7503 Nickel Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2014,833005
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2016,23227
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2018,88812
"7407 Copper Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2010,80343
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,2011,8848
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,2019,923435
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2014,10832115
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,2643535
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2010,11808
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2010,2414
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2015,63457
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2021,31287640
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2018,86969
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2017,10907873
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Brunei,All Country Subcodes,All Rate Provisions,All Districts,2024,862607
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2013,837222
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,313540
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,35241
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Laos,All Country Subcodes,All Rate Provisions,All Districts,2014,5040
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,10607097
7602 Aluminum Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2010,257653
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2013,8760492
2817 Zinc Oxide And Zinc Peroxide,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2014,12240
2614 Titanium Ores And Concentrates,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2012,1752377
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2017,124441
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2023,2311336
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2016,26600
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2025,7403860
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2022,252093
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2011,11394886
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2019,1027806
"7601 Aluminum, Unwrought",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,2400
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2016,7261404
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2021,312665
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2018,892266
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2020,17052
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2019,43266854
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2012,17047088
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,66011
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2025,11965264
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2016,4331365
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2013,192228
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2014,58356
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2023,31558
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2019,820509
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2016,169920
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2024,859223
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2020,1575597
"7601 Aluminum, Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2021,968462
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2025,21157340
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2014,1265908
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2023,13347453
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2016,47420
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2022,46736
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2010,8823918
"7903 Zinc Dust, Powders And Flakes",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2018,3300
"7508 Articles Of Nickel, Nesoi",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2022,6720
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2014,10138607
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2011,8582
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2010,28165
7408 Copper Wire,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2016,2558
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2013,44597
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2025,8767813
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2018,630125
"7508 Articles Of Nickel, Nesoi",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2010,53594
"7505 Nickel Bars, Rods, Profiles And Wire",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2014,2701
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025,768815
7419 Articles Of Copper Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2024,9101068
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2010,18075289
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2017,4404710
2614 Titanium Ores And Concentrates,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2019,82922
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2012,2608974
2504 Natural Graphite,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2025,6900
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2013,9724
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2017,2160
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2022,426067
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2015,2703
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,2021,4400
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,1043837
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2019,6800
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2022,10373942
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2015,9242589
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025,2205869
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2014,75588
"7905 Zinc Plates, Sheet, Strip And Foil",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,61526
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2011,928254
7504 Nickel Powders And Flakes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2021,3828
2608 Zinc Ores And Concentrates,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,2560
2504 Natural Graphite,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,20895
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2014,1461772
2805 Alkali Metals Etc; Rare-earth Metals Etc; Mercury,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2015,69000
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2020,143140
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,54732
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2022,5164927
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2023,288256
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2012,65453
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,160530
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,139639
"7601 Aluminum, Unwrought",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2016,1091093
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2021,276140
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2023,135084
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2014,9828185
2614 Titanium Ores And Concentrates,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2016,3738504
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2025,11526901
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2024,11342289
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2012,12975
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2025,6916
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2015,16608114
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2022,1538699
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2018,405899
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2020,74783
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2017,1689213
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2024,93268
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,120479
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2018,72633736
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Brunei,All Country Subcodes,All Rate Provisions,All Districts,2020,453544
7503 Nickel Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2024,262698
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2014,560644
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2025,31169
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2013,1752054
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,12900941
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,9834
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2014,770559
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2020,1804195
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2019,18463
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2016,1128048
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2019,2508097
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2012,490276
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2018,2501969
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2017,174054
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2019,274107
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2011,342975
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2010,186785
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2021,1266262
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2018,2274617
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2017,19125
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2020,1657575
7503 Nickel Waste And Scrap,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2024,118503
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2025,2130977
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2022,420847
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2021,3228364
2817 Zinc Oxide And Zinc Peroxide,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2018,40388
"7905 Zinc Plates, Sheet, Strip And Foil",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2024,5004
7419 Articles Of Copper Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,2015,5100
2805 Alkali Metals Etc; Rare-earth Metals Etc; Mercury,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2017,10890
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2023,270717
7504 Nickel Powders And Flakes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2023,12012
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,2013,54052
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,2023,136353
7608 Aluminum Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2011,7881
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,2017,72218
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2016,981203
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2020,15334761
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2011,4400765
7608 Aluminum Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,2019,2521402
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,2011,351483
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,2024,55472062
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,All Country Subcodes,All Rate Provisions,All Districts,2011,11400
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,2010,11071
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,2020,6926
