Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
7503 Nickel Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2015,3836
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2022,12459
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2017,193268
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2015,17224
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2013,104100
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2011,6858
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,April 2016,74040
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2013,591460
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2021,894567
"7601 Aluminum, Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2014,7232
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2011,13096
7608 Aluminum Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2018,13910
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2016,142560
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2010,866694
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2013,114834
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2024,2769302
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2017,23210
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2024,48103
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2022,59564
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2013,10000
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2012,159682
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2021,6236
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2017,2112
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2015,5840
"7901 Zinc, Unwrought",Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2023,6250
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2020,67297
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2017,126598
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2017,776979
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2016,55158
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,May 2010,21625
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,May 2012,595628
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2021,533060
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2024,36803
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2014,526409
7503 Nickel Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2013,11384
7408 Copper Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2016,71488
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,June 2024,504673
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2025,4645327
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2022,1175245
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2017,3160486
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2022,253646
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2011,830856
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2011,331504
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2012,2143
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2024,2764247
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2011,79771
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2024,178622
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2025,198793
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2016,6889044
7404 Copper Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2017,20619
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2017,13044461
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2024,241155
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2017,522975
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2025,210568
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2015,2214
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2017,134725
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2023,773386
