HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2016,,Ecuador,71858,1.26,110.0632,65287.94365419142,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2017,,Ecuador,357923,2.13,112.4076,318415.30287987646,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2019,,Ecuador,15134,1.81,117.2345,12909.169229194478,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2020,,Ecuador,897881,1.23,118.6765,756578.5981217849,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2021,,Ecuador,487118,4.7,124.2543,392033.1127373459,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2022,,Ecuador,1462861,8.0,134.1947,1090103.4094491063,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2023,,Ecuador,2957,4.12,139.7235,2116.3225942665335,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2024,,Ecuador,398055,2.9,143.7755,276858.71375860285,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2025,,Ecuador,415500,2.8,147.8012,281120.85693485575,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2015,,Peru,185125954,0.12,108.6937,170318936.6081015,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2016,,Peru,332948170,1.26,110.0632,302506350.8965758,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2017,,Peru,243200923,2.13,112.4076,216356298.86235452,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2018,,Peru,190107960,2.44,115.1503,165095496.92879653,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2019,,Peru,42339339,1.81,117.2345,36115084.72335362,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2020,,Peru,63550814,1.23,118.6765,53549619.34334093,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2021,,Peru,39092793,4.7,124.2543,31461923.6517368,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2022,,Peru,35977892,8.0,134.1947,26810218.287309404,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2023,,Peru,45112894,4.12,139.7235,32287263.058826897,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2024,,Peru,64468515,2.9,143.7755,44839708.43432991,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2025,,Peru,66459972,2.8,147.8012,44965786.47534662,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2024,,Uruguay,232741,2.9,143.7755,161878.0668472723,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2016,,Venezuela,43301,1.26,110.0632,39341.941720756804,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2015,,Brazil,5782350,0.12,108.6937,5319857.544641501,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2016,,Brazil,423746,1.26,110.0632,385002.4349646385,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2017,,Brazil,1836332,2.13,112.4076,1633636.8715282597,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2018,,Brazil,251798,2.44,115.1503,218668.99174383393,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2019,,Brazil,735644,1.81,117.2345,627497.8781843228,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2020,,Brazil,6446,1.23,118.6765,5431.5723837491,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2021,,Brazil,6656,4.7,124.2543,5356.756265175531,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2024,,Brazil,34138,2.9,143.7755,23743.96194066444,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2025,,Brazil,42445,2.8,147.8012,28717.628814921663,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2017,,Colombia,8253,2.13,112.4076,7342.030254182102,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2020,,Colombia,4829,1.23,118.6765,4069.0448403854175,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2021,,Colombia,13396,4.7,124.2543,10781.115824563012,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2023,,Colombia,15127,4.12,139.7235,10826.382104656697,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2024,,Colombia,37141,2.9,143.7755,25832.634906503547,Unknown
8105,"Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",2025,,Colombia,7254,2.8,147.8012,4907.943913851849,Unknown
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2015,,Brazil,2350796,0.12,108.6937,2162771.163370094,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2016,,Brazil,275952,1.26,110.0632,250721.4037026,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2017,,Brazil,411706,2.13,112.4076,366261.7118415481,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2018,,Brazil,2543726,2.44,115.1503,2209048.521801506,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2019,,Brazil,4637411,1.81,117.2345,3955670.8989248043,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2020,,Brazil,327632,1.23,118.6765,276071.50531065546,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2021,,Brazil,135000,4.7,124.2543,108648.15141206382,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2022,,Brazil,136549,8.0,134.1947,101754.39119428709,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2023,,Brazil,242855,4.12,139.7235,173811.13413276937,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2024,,Brazil,47408,2.9,143.7755,32973.6290258076,Ore / Raw
2602,Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,2025,,Brazil,544350,2.8,147.8012,368298.76888685615,Ore / Raw
2604,Nickel Ores And Concentrates,2015,,Brazil,8693,0.12,108.6937,7997.703638757352,Ore / Raw
2604,Nickel Ores And Concentrates,2023,,Brazil,126293,4.12,139.7235,90387.80162249014,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2015,,Bolivia,4913,0.12,108.6937,4520.0411799395915,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2015,,Brazil,20167502,0.12,108.6937,18554435.077653993,Ore / Raw
2615,"Niobium, Tantalum, Vanadium & Zirconium Ore & Conc",2016,,Brazil,26753696,1.26,110.0632,24307576.010873754,Ore / Raw
